industry,,company_id,industry
Metals and Mining,1358,225229546,Metals and Mining
Metals and Mining,6446,273607,Metals and Mining
Metals and Mining,814,215010012,Metals and Mining
Metals and Mining,1060,12701444,Metals and Mining
Metals and Mining,3603,881628,Metals and Mining
"Oil, Gas and Consumable Fuels",4318,358534,"Oil, Gas and Consumable Fuels"
"Oil, Gas and Consumable Fuels",3798,877200,"Oil, Gas and Consumable Fuels"
"Oil, Gas and Consumable Fuels",6511,258181,"Oil, Gas and Consumable Fuels"
"Oil, Gas and Consumable Fuels",1372,121373,"Oil, Gas and Consumable Fuels"
"Oil, Gas and Consumable Fuels",3844,411108,"Oil, Gas and Consumable Fuels"
Road and Rail,7642,3079228,Road and Rail
Road and Rail,5608,353020,Road and Rail
Road and Rail,7633,25063,Road and Rail
Road and Rail,854,39928186,Road and Rail
Road and Rail,2592,874496,Road and Rail
"Textiles, Apparel and Luxury Goods",5029,2582196,"Textiles, Apparel and Luxury Goods"
"Textiles, Apparel and Luxury Goods",2660,875663,"Textiles, Apparel and Luxury Goods"
"Textiles, Apparel and Luxury Goods",6710,294483,"Textiles, Apparel and Luxury Goods"
"Textiles, Apparel and Luxury Goods",6767,527748,"Textiles, Apparel and Luxury Goods"
"Textiles, Apparel and Luxury Goods",7792,347145,"Textiles, Apparel and Luxury Goods"
